Wilayah,Tahun,TPT,RLS,PPM
Bandung,2024,6.36,9.15,6.19
Bandung,2023,6.52,9.1,6.4
Bandung,2022,6.98,9.08,6.8
Bandung,2021,8.32,9.07,7.15
Bandung Barat,2024,6.7,8.24,10.49
Bandung Barat,2023,8.11,8.23,10.52
Bandung Barat,2022,9.63,8.22,10.82
Bandung Barat,2021,11.65,8.2,11.3
Bekasi,2024,8.82,9.76,4.8
Bekasi,2023,8.87,9.57,4.93
Bekasi,2022,10.31,9.53,5.01
Bekasi,2021,10.09,9.3,5.21
Bogor,2024,7.34,8.39,7.05
Bogor,2023,8.47,8.37,7.27
Bogor,2022,10.64,8.34,7.73
Bogor,2021,12.22,8.31,8.13
Ciamis,2024,3.37,8.1,7.39
Ciamis,2023,3.52,8.09,7.42
Ciamis,2022,3.75,8,7.72
Ciamis,2021,5.06,7.9,7.97
Cianjur,2024,5.99,7.33,10.14
Cianjur,2023,7.71,7.22,10.22
Cianjur,2022,8.41,7.2,10.55
Cianjur,2021,9.32,7.19,11.18
Cirebon,2024,6.74,7.65,11
Cirebon,2023,7.65,7.64,11.2
Cirebon,2022,8.11,7.4,12.01
Cirebon,2021,10.38,7.1,12.3
Garut,2024,6.96,7.85,9.68
Garut,2023,7.33,7.84,9.77
Garut,2022,7.6,7.83,10.42
Garut,2021,8.68,7.53,10.65
Indramayu,2024,6.25,6.95,11.93
Indramayu,2023,6.46,6.94,12.13
Indramayu,2022,6.49,6.83,12.77
Indramayu,2021,8.3,6.52,13.04
Karawang,2024,8.04,8.05,7.86
Karawang,2023,8.95,8.04,7.87
Karawang,2022,9.87,7.96,8.44
Karawang,2021,11.83,7.78,8.95
Kota Bandung,2024,7.4,11.07,3.87
Kota Bandung,2023,8.83,11.06,3.96
Kota Bandung,2022,9.55,11,4.25
Kota Bandung,2021,11.46,10.99,4.37
Kota Banjar,2024,5.44,8.83,5.85
Kota Banjar,2023,5.43,8.79,6.14
Kota Banjar,2022,5.53,8.78,6.73
Kota Banjar,2021,6.09,8.77,7.11
Kota Bekasi,2024,7.82,11.79,4.01
Kota Bekasi,2023,7.9,11.66,4.1
Kota Bekasi,2022,8.81,11.44,4.43
Kota Bekasi,2021,10.88,11.31,4.74
Kota Bogor,2024,8.13,10.71,6.53
Kota Bogor,2023,9.39,10.64,6.67
Kota Bogor,2022,10.78,10.63,7.1
Kota Bogor,2021,11.79,10.53,7.24
Kota Cimahi,2024,8.97,11.52,4.39
Kota Cimahi,2023,10.52,11.39,4.66
Kota Cimahi,2022,10.77,11.21,5.11
Kota Cimahi,2021,13.07,11.08,5.35
Kota Cirebon,2024,6.29,10.53,9.02
Kota Cirebon,2023,7.66,10.37,9.16
Kota Cirebon,2022,8.42,10.33,9.82
Kota Cirebon,2021,10.53,10.12,10.03
Kota Depok,2024,6.27,11.59,2.34
Kota Depok,2023,6.97,11.58,2.38
Kota Depok,2022,7.82,11.47,2.53
Kota Depok,2021,9.76,11.46,2.58
Kota Sukabumi,2024,8.34,10.38,7.2
Kota Sukabumi,2023,8.53,10.37,7.5
Kota Sukabumi,2022,8.83,10.14,8.02
Kota Sukabumi,2021,10.78,9.81,8.25
Kota Tasikmalaya,2024,6.49,9.63,11.1
Kota Tasikmalaya,2023,6.55,9.54,11.53
Kota Tasikmalaya,2022,6.62,9.53,12.72
Kota Tasikmalaya,2021,7.66,9.52,13.13
Kuningan,2024,7.78,7.9,11.88
Kuningan,2023,9.49,7.89,12.12
Kuningan,2022,9.81,7.88,12.76
Kuningan,2021,11.68,7.8,13.1
Majalengka,2024,4.01,7.53,10.82
Majalengka,2023,4.12,7.52,11.21
Majalengka,2022,4.16,7.49,11.94
Majalengka,2021,5.71,7.31,12.33
Pangandaran,2024,1.58,8.1,8.75
Pangandaran,2023,1.52,8.04,8.98
Pangandaran,2022,1.56,8.03,9.32
Pangandaran,2021,3.25,7.85,9.65
Purwakarta,2024,7.34,8.14,8.41
Purwakarta,2023,7.72,8.13,8.46
Purwakarta,2022,8.75,8.11,8.7
Purwakarta,2021,10.7,8.1,8.83
Subang,2024,6.73,7.46,9.49
Subang,2023,7.65,7.45,9.52
Subang,2022,7.77,7.2,9.75
Subang,2021,9.77,7.11,10.03
Sukabumi,2024,7.11,7.34,6.87
Sukabumi,2023,7.32,7.33,7.01
Sukabumi,2022,7.77,7.11,7.34
Sukabumi,2021,9.51,7.1,7.7
Sumedang,2024,6.16,8.74,9.1
Sumedang,2023,6.94,8.73,9.36
Sumedang,2022,7.72,8.72,10.14
Sumedang,2021,9.18,8.52,10.71
Tasikmalaya,2024,3.74,7.97,10.23
Tasikmalaya,2023,3.89,7.96,10.28
Tasikmalaya,2022,4.17,7.73,10.73
Tasikmalaya,2021,6.16,7.48,11.15
